Social Media Provider	App Name	Downloads	Use case Description	Data FlowType I (yes/no)	Data FlowType II (yes/no)	
Weibo	抖音	38B+ (huawei app gallery)	login with weibo account;	no	yes	
Facebook	TikTok	1B+	login with facebook account; display a user name generated based on user's facebook email;	yes	yes	
Facebook	eBay: The shopping marketplace	100M+	login with facebook account; display user's facebook firstname; display user's facebook email	no	no	
Facebook	com.callapp.contacts	100M+	login with facebook account; display user's facebook firstname and lastname;	no	no	
Facebook	SHEIN-Fashion Shopping Online	100M+	login with facebook account; display a user name generated based on user's facebook display Name;	yes	yes	
Facebook	Taco Bell – Order Fast Food	10M+	login with facebook account; display a user name generated based on user's facebook email;	yes	yes	
Facebook	Alibaba.com - B2B marketplace	100M+	login with facebook account; display user's facebook email; display user's facebook firstname and lastname;	yes	yes	
Facebook	Tubi - Movies & TV Shows	100M+	login with facebook account; display user's facebook firstname;	yes	yes	
Facebook	"Canva: Design, Photo & Video"	100M+	login with facebook account; display user's facebook firstname and last name; display user's facebook profile image; display user's facebook email; Display list of facebook group users joined; Share user created media to facebook group	no	no	
Facebook	Upside-Cash back on gas & food	5M+	login with facebook account; display user's facebook email; display user's facebook firstname and lastname;	yes	yes	
Facebook	Spotify: Music and Podcasts	1B+	login with facebook account; display user's facebook profile image;	yes	yes	
Facebook	OfferUp: Buy. Sell. Letgo.	50M+	login with facebook account; display user's facebook firstname; display user's facebook profile image; display user's facebook email	no	no	
Facebook	TextNow: Call + Text Unlimited	50M+	login with facebook account; display user's facebook email; display user's facebook firstname and lastname;	yes	yes	
Facebook	King James Bible - Verse+Audio	50M+	login with facebook account; display user's facebook profile image; display user's facebook firstname and lastname;	yes	yes	
Facebook	Fetch Rewards	10M+	login with facebook account; display user's facebook firstname and lastname; display user's facebook email	no	no	
Facebook	Grubhub: Local Food Delivery	10M+	login with facebook account; display user's facebook firstname and lastname; display user's facebook email	no	no	
Facebook	DoorDash - Food Delivery	10M+	login with facebook account; display user's facebook firstname and lastname; display user's facebook email;	yes	yes	
Facebook	Pinterest	500M+	login with facebook account; display user's facebook firstname and lastname; display user's facebook email;	yes	yes	
Facebook	"Expedia: Hotels, Flights & Car"	10M+	login with facebook account; display user's facebook firstname and lastname; display user's facebook email;	yes	yes	
Facebook	Etsy: Buy & Sell Unique Items	100M+	login with facebook account; display user's facebook firstname and lastname	no	no	
Facebook	Adobe Express: Graphic Design	10M+	login with facebook account; display user's facebook firstname and lastname; display user's facebook email;	yes	yes	
